City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,mesyagutovo,55.5303,58.2528,9.74,66,89,2.19,RU,1682310589
341,lodwar,3.1191,35.5973,27.07,57,98,2.36,KE,1682310590
342,khorixas,-20.3667,14.9667,17.97,75,37,1.49,NA,1682310590
343,punta del este,-34.9667,-54.95,17.71,96,100,2.24,UY,1682310590
344,oranjemund,-28.55,16.4333,14.31,89,99,2.19,NA,1682310590
345,port antonio,18.18,-76.4612,26.95,77,1,1.3,JM,1682310590
346,ngaoundere,7.3167,13.5833,19.56,90,100,2.58,CM,1682310591
347,cobourg,43.9598,-78.1652,6.07,75,99,1.03,CA,1682310386
348,fisterra,42.9049,-9.2629,16.12,96,98,5.28,ES,1682310591
349,kidal,18.4411,1.4078,27.39,12,22,4.19,ML,1682310591
350,beypore,11.1833,75.8167,30.58,62,40,2.57,IN,1682310592
351,bubaque,11.2833,-15.8333,26.32,62,12,4.85,GW,1682310592
352,claveria,18.6074,121.0832,29.01,61,54,6.14,PH,1682310592
353,kaspiyskiy,45.3929,47.3707,15.55,64,100,10.42,RU,1682310592
354,vila franca do campo,37.7167,-25.4333,18.23,86,100,9.56,PT,1682310592
355,brookings,44.3114,-96.7984,3.43,57,0,2.06,US,1682310593
356,san pablo villa de mitla,16.9167,-96.4,18.25,73,93,2.18,MX,1682310593
357,saacow,1.6279,42.4407,27.12,77,100,1.74,SO,1682310593
358,paita,-5.0892,-81.1144,25.98,81,100,5.14,PE,1682310593
359,asmar,35.0333,71.3581,22.91,24,6,1.95,AF,1682310593
360,shalqar,47.8333,59.6,14.09,58,0,3.61,KZ,1682310594
361,kitimat,54.0524,-128.6534,8.28,28,100,0.96,CA,1682310594
362,yeppoon,-23.1333,150.7333,26.88,64,74,10.39,AU,1682310594
363,gamba,-2.65,10.0,25.39,90,99,2.08,GA,1682310594
364,thinadhoo,0.5333,72.9333,29.15,72,100,3.5,MV,1682310594
365,baruun-urt,46.6806,113.2792,12.66,13,100,5.36,MN,1682310595
366,carnarvon,-24.8667,113.6333,22.64,67,100,7.9,AU,1682310595
367,karpinsk,59.7654,60.0085,2.35,42,100,3.29,RU,1682310595
368,crane,31.3974,-102.3501,8.11,82,100,5.87,US,1682310595
369,longford,53.7333,-7.8,4.94,97,100,5.07,IE,1682310595
370,neon karlovasion,37.7903,26.7044,16.62,74,5,2.81,GR,1682310596
371,aromashevo,56.8602,68.6375,5.99,53,67,7.96,RU,1682310596
372,port lincoln,-34.7333,135.8667,22.6,50,0,4.75,AU,1682310596
373,salinopolis,-0.6136,-47.3561,25.62,82,100,3.01,BR,1682310596
374,reidsville,36.3549,-79.6645,14.51,54,40,1.54,US,1682310596
375,rosarito,32.3333,-117.0333,14.71,82,41,1.67,MX,1682310344
376,iwanai,42.9744,140.5089,7.66,56,70,7.08,JP,1682310597
377,borogontsy,62.6683,131.1683,-0.31,83,100,4.66,RU,1682310597
378,betio village,1.358,172.9211,31.02,81,53,6.89,KI,1682310597
379,bystrzyca klodzka,50.3018,16.6423,12.7,87,100,2.87,PL,1682310597
380,sao joao da barra,-21.6403,-41.0511,19.67,84,0,3.73,BR,1682310597
381,karasburg,-28.0167,18.75,21.4,6,100,4.19,NA,1682310598
382,sabang,5.8933,95.3214,29.11,70,78,2.08,ID,1682310598
383,orange cove,36.6244,-119.3137,22.81,68,0,3.09,US,1682310598
384,necochea,-38.5473,-58.7368,12.58,90,1,3.41,AR,1682310599
385,yamada,39.4667,141.95,12.01,34,98,5.71,JP,1682310599
386,nova vicosa,-17.8919,-39.3719,24.68,72,92,5.51,BR,1682310599
387,ichinoseki,38.9167,141.1333,12.53,26,67,7.99,JP,1682310599
388,lasem,-6.6922,111.4527,30.09,70,79,3.96,ID,1682310599
389,sao paulo de olivenca,-3.3783,-68.8725,23.07,98,83,0.96,BR,1682310600
390,bukama,-9.2,25.85,19.94,96,100,0.71,CD,1682310600
391,konakovo,56.7,36.7667,11.12,64,99,2.26,RU,1682310600
392,selkirk,50.1436,-96.8845,1.16,77,20,2.46,CA,1682310601
393,anavyssos,37.7333,23.95,15.5,73,4,0.94,GR,1682310601
394,karatas,36.582,35.3701,16.08,70,22,5.89,TR,1682310602
395,alofi,-19.0595,-169.9187,25.94,73,75,4.12,NU,1682310604
396,hovd,48.0056,91.6419,7.1,27,100,2.54,MN,1682310605
397,gantang,26.92,119.6333,18.19,94,100,0.86,CN,1682310606
398,lata,40.1629,-8.3327,13.37,97,14,1.23,PT,1682310607
399,roussillon,45.373,4.8073,11.14,87,55,1.23,FR,1682310607
400,tofol,5.3248,163.0078,24.88,94,100,6.69,FM,1682310412
401,el calafate,-50.3408,-72.2768,9.3,89,100,2.01,AR,1682310608
402,fort pierce,27.4467,-80.3256,25.01,79,20,5.81,US,1682310608
403,adam,22.3756,57.5233,29.43,54,7,2.11,OM,1682310608
